"Name","Season","Games","PA","PA_G","wRC","wRC_plus","VOL","expectedVOL","corrVOL"
"Jay Bell",1993,153,701,4.6,103.3,125,0.567,0.604,93.9
"Jay Bell",1994,110,487,4.4,65.7,107,0.642,0.629,102.1
"Jay Bell",1995,136,593,4.4,71.7,95,0.63,0.637,98.9
"Jay Bell",1996,146,598,4.1,63.2,85,0.657,0.656,100.1
"Jay Bell",1997,153,660,4.3,97,116,0.611,0.614,99.4
"Jay Bell",1998,155,645,4.2,86,106,0.651,0.631,103.2
"Jay Bell",1999,151,688,4.6,119.6,128,0.615,0.581,105.9
"Jay Bell",2000,148,649,4.4,85.4,97,0.664,0.626,106.1
"Jay Bell",2001,128,509,4,61.1,93,0.68,0.649,104.8
"Alex Cintron",2003,117,487,4.2,73.8,115,0.66,0.624,105.8
"Alex Cintron",2004,154,613,4,51.8,65,0.677,0.677,99.9
"Alex Cintron",2005,122,348,2.9,34.3,76,0.713,0.689,103.5
"Greg Colbrunn",1995,135,560,4.1,67.4,97,0.677,0.644,105.1
"Greg Colbrunn",1996,140,556,4,72.3,105,0.606,0.641,94.5
"Greg Colbrunn",2000,115,385,3.3,70,133,0.629,0.634,99.3
"Craig Counsell",1998,107,400,3.7,42.9,97,0.628,0.662,94.9
"Craig Counsell",2001,138,535,3.9,60.7,88,0.64,0.656,97.5
"Craig Counsell",2002,112,491,4.4,51.4,83,0.664,0.649,102.3
"Craig Counsell",2004,140,551,3.9,43.7,68,0.7,0.68,102.9
"Craig Counsell",2005,150,670,4.5,77.4,89,0.622,0.637,97.6
"Craig Counsell",2006,105,415,4,41.4,73,0.656,0.661,99.3
"Craig Counsell",2007,122,334,2.7,26.7,68,0.702,0.7,100.3
"Craig Counsell",2008,110,302,2.7,30.9,84,0.694,0.687,101
"Craig Counsell",2009,130,459,3.5,58.4,106,0.652,0.657,99.2
"Craig Counsell",2010,102,230,2.3,20.5,77,0.668,0.699,95.6
"Craig Counsell",2011,107,187,1.7,7.6,40,0.688,0.723,95.1
"Steve Finley",1990,134,513,3.8,41.5,78,0.701,0.68,103.1
"Steve Finley",1991,157,656,4.2,75.3,109,0.643,0.647,99.5
"Steve Finley",1992,159,686,4.3,82.1,121,0.613,0.638,96.1
"Steve Finley",1993,141,585,4.1,58.5,88,0.64,0.66,97
"Steve Finley",1995,138,630,4.6,84.5,113,0.638,0.62,103
"Steve Finley",1996,160,721,4.5,116.8,136,0.612,0.591,103.6
"Steve Finley",1997,142,615,4.3,77.9,107,0.68,0.633,107.4
"Steve Finley",1998,157,674,4.3,69.7,89,0.654,0.653,100.1
"Steve Finley",1999,155,663,4.3,95.8,108,0.665,0.617,107.7
"Steve Finley",2000,150,623,4.2,99.5,119,0.632,0.61,103.6
"Steve Finley",2001,139,548,3.9,65,92,0.678,0.651,104.1
"Steve Finley",2002,150,577,3.8,89,122,0.634,0.627,101.2
"Steve Finley",2003,147,582,4,90.5,117,0.643,0.621,103.5
"Steve Finley",2004,162,706,4.4,97.2,108,0.66,0.619,106.6
"Steve Finley",2005,112,440,3.9,34.5,68,0.686,0.675,101.6
"Steve Finley",2006,139,481,3.5,50.5,82,0.68,0.673,101
"Luis Gonzalez",1991,137,526,3.8,64.5,113,0.651,0.651,100
"Luis Gonzalez",1992,121,416,3.4,39.4,93,0.685,0.678,101.1
"Luis Gonzalez",1993,152,610,4,85.5,122,0.65,0.631,103
"Luis Gonzalez",1994,110,450,4.1,58.1,108,0.656,0.641,102.4
"Luis Gonzalez",1995,133,541,4.1,73.7,113,0.632,0.634,99.6
"Luis Gonzalez",1996,145,555,3.8,73.7,108,0.647,0.644,100.5
"Luis Gonzalez",1997,151,631,4.2,70.4,96,0.667,0.649,102.7
"Luis Gonzalez",1998,154,620,4,84.3,106,0.64,0.634,100.9
"Luis Gonzalez",1999,153,693,4.5,128.1,137,0.531,0.572,92.9
"Luis Gonzalez",2000,162,722,4.5,127.3,131,0.606,0.578,104.8
"Luis Gonzalez",2001,162,728,4.5,159,173,0.526,0.536,98.1
"Luis Gonzalez",2002,148,633,4.3,105,131,0.588,0.601,97.9
"Luis Gonzalez",2003,156,679,4.4,115.9,134,0.589,0.59,99.8
"Luis Gonzalez",2004,105,451,4.3,66.1,114,0.627,0.626,100.2
"Luis Gonzalez",2005,155,672,4.3,93.5,110,0.642,0.62,103.5
"Luis Gonzalez",2006,153,668,4.4,86.2,98,0.634,0.628,101
"Luis Gonzalez",2007,139,526,3.8,71.6,109,0.659,0.643,102.5
"Luis Gonzalez",2008,136,387,2.8,46.7,96,0.688,0.681,101
"Mark Grace",1988,134,550,4.1,73.7,120,0.624,0.635,98.3
"Mark Grace",1989,141,596,4.2,92.1,142,0.556,0.614,90.5
"Mark Grace",1990,157,662,4.2,89.7,113,0.627,0.627,100
"Mark Grace",1991,159,703,4.4,80.3,99,0.63,0.64,98.5
"Mark Grace",1992,158,689,4.4,95.7,128,0.555,0.618,89.7
"Mark Grace",1993,154,676,4.4,104.2,129,0.598,0.605,98.9
"Mark Grace",1994,106,454,4.3,61.3,107,0.608,0.633,96.1
"Mark Grace",1995,142,627,4.4,106.4,137,0.555,0.594,93.4
"Mark Grace",1996,142,616,4.3,96.8,127,0.6,0.608,98.7
"Mark Grace",1997,150,654,4.4,108.6,130,0.554,0.596,92.9
"Mark Grace",1998,157,698,4.4,113.2,130,0.564,0.595,94.9
"Mark Grace",1999,161,688,4.3,110.7,121,0.6,0.601,99.8
"Mark Grace",2000,142,621,4.4,88.7,112,0.609,0.618,98.6
"Mark Grace",2001,142,553,3.9,85.3,118,0.6,0.626,95.9
"Mark Grace",2002,124,348,2.8,39.4,90,0.683,0.684,99.9
"Jose Guillen",1997,142,526,3.7,55.8,82,0.671,0.667,100.7
"Jose Guillen",1998,152,605,4,64.2,83,0.655,0.66,99.3
"Jose Guillen",2003,136,535,3.9,91.5,138,0.617,0.614,100.5
"Jose Guillen",2004,148,621,4.2,92.2,122,0.653,0.618,105.6
"Jose Guillen",2005,148,611,4.1,82.5,114,0.639,0.632,101.1
"Jose Guillen",2007,153,659,4.3,93.9,117,0.619,0.619,100.1
"Jose Guillen",2008,153,633,4.1,70.4,90,0.663,0.651,101.8
"Jose Guillen",2010,148,577,3.9,66.1,98,0.656,0.655,100.1
"Damian Miller",2001,120,425,3.5,48.1,90,0.669,0.665,100.7
"Damian Miller",2002,101,340,3.4,41.6,98,0.671,0.662,101.3
"Damian Miller",2003,114,400,3.5,35.3,75,0.693,0.678,102.2
"Damian Miller",2004,110,442,4,53.1,95,0.645,0.648,99.5
"Damian Miller",2005,114,431,3.8,49.7,95,0.639,0.657,97.3
"Damian Miller",2006,101,376,3.7,36,78,0.661,0.667,99
"Chad Moeller",2004,101,349,3.5,19,45,0.686,0.691,99.2
"Junior Spivey",2002,143,626,4.4,99.1,124,0.595,0.605,98.4
"Junior Spivey",2003,106,408,3.8,50.5,92,0.686,0.651,105.5
"Matt Williams",1990,159,664,4.2,88.4,121,0.657,0.63,104.2
"Matt Williams",1991,157,635,4,86.9,127,0.644,0.632,101.8
"Matt Williams",1992,145,576,4,51.2,89,0.663,0.673,98.6
"Matt Williams",1993,145,619,4.3,98.5,135,0.629,0.607,103.6
"Matt Williams",1994,112,483,4.3,78.9,133,0.616,0.613,100.5
"Matt Williams",1996,105,455,4.3,70.2,129,0.575,0.62,92.7
"Matt Williams",1997,150,636,4.2,81.3,101,0.662,0.634,104.4
"Matt Williams",1998,134,557,4.2,66.6,95,0.657,0.644,102.1
"Matt Williams",1999,152,678,4.5,102,112,0.615,0.606,101.5
"Matt Williams",2001,106,436,4.1,54.5,94,0.625,0.643,97.2
"Tony Womack",1997,155,689,4.4,72.4,82,0.657,0.648,101.4
"Tony Womack",1998,157,704,4.5,68,77,0.639,0.654,97.7
"Tony Womack",1999,144,684,4.8,70.5,77,0.642,0.64,100.2
"Tony Womack",2000,144,659,4.6,64.3,70,0.649,0.65,99.8
"Tony Womack",2001,125,518,4.1,44.5,66,0.69,0.668,103.3
"Tony Womack",2002,153,652,4.3,63,75,0.673,0.66,102
"Tony Womack",2003,103,364,3.5,19.2,35,0.73,0.692,105.4
"Tony Womack",2004,145,606,4.2,69.6,94,0.651,0.647,100.7
"Tony Womack",2005,108,351,3.2,18.4,47,0.673,0.699,96.3
"Ernie Young",1996,135,528,3.9,64.4,92,0.671,0.649,103.3
"Henry Blanco",2001,103,357,3.5,25.6,60,0.695,0.684,101.6
"Henry Blanco",2004,114,353,3.1,24.1,59,0.714,0.696,102.6
"Darren Bragg",1996,123,499,4.1,64.8,96,0.598,0.64,93.4
"Darren Bragg",1997,148,586,4,64.1,87,0.661,0.657,100.6
"Darren Bragg",1998,123,465,3.8,61.1,101,0.629,0.647,97.2
"Darren Bragg",2002,109,240,2.2,29.8,101,0.709,0.691,102.5
"Darren Bragg",2003,104,181,1.7,12,56,0.706,0.716,98.7
"Vinny Castilla",1993,103,357,3.5,33,64,0.692,0.674,102.6
"Vinny Castilla",1995,139,571,4.1,95.8,112,0.646,0.609,106.1
"Vinny Castilla",1996,160,673,4.2,108.5,106,0.591,0.604,97.8
"Vinny Castilla",1997,159,668,4.2,108.4,109,0.615,0.604,101.9
"Vinny Castilla",1998,162,697,4.3,124.9,121,0.609,0.583,104.5
"Vinny Castilla",1999,158,674,4.3,88.1,78,0.655,0.629,104.1
"Vinny Castilla",2001,146,581,4,71.9,93,0.708,0.646,109.7
"Vinny Castilla",2002,143,578,4,40.5,58,0.686,0.686,100.1
"Vinny Castilla",2003,147,578,3.9,70.2,96,0.676,0.649,104.1
"Vinny Castilla",2004,148,648,4.4,96,105,0.591,0.612,96.6
"Vinny Castilla",2005,142,549,3.9,57.5,90,0.677,0.663,102.1
"Julio Franco",1983,149,598,4,61.8,88,0.645,0.661,97.6
"Julio Franco",1984,160,718,4.5,75.2,88,0.647,0.646,100.1
"Julio Franco",1985,160,703,4.4,82.9,97,0.606,0.637,95.2
"Julio Franco",1986,148,636,4.3,81.3,105,0.617,0.632,97.6
"Julio Franco",1987,128,560,4.4,85.1,120,0.549,0.614,89.4
"Julio Franco",1988,152,676,4.4,89.9,115,0.607,0.622,97.5
"Julio Franco",1989,150,621,4.1,94.1,135,0.565,0.618,91.5
"Julio Franco",1990,157,670,4.3,94,125,0.596,0.621,96
"Julio Franco",1991,146,659,4.5,110.4,146,0.556,0.591,94.1
"Julio Franco",1993,144,607,4.2,83.2,116,0.628,0.628,100
"Julio Franco",1994,112,505,4.5,90.4,141,0.55,0.596,92.3
"Julio Franco",1996,112,499,4.5,86.1,124,0.568,0.602,94.4
"Julio Franco",1997,120,505,4.2,60.5,95,0.652,0.643,101.4
"Julio Franco",2002,125,383,3.1,45.2,98,0.692,0.675,102.6
"Julio Franco",2003,103,223,2.2,30.6,112,0.693,0.687,100.9
"Julio Franco",2004,125,361,2.9,50.9,113,0.66,0.668,98.8
"Julio Franco",2005,108,265,2.5,35.7,110,0.681,0.681,100
"Rafael Furcal",2000,130,542,4.2,74.8,107,0.594,0.63,94.2
"Rafael Furcal",2002,154,693,4.5,73.6,88,0.646,0.645,100.2
"Rafael Furcal",2003,156,734,4.7,99.7,107,0.651,0.61,106.8
"Rafael Furcal",2004,143,632,4.4,76,97,0.657,0.635,103.4
"Rafael Furcal",2005,154,689,4.5,87.4,105,0.658,0.626,105
"Rafael Furcal",2006,159,736,4.6,104.5,113,0.584,0.606,96.4
"Rafael Furcal",2007,138,643,4.7,65.5,82,0.644,0.644,100
"Rafael Furcal",2009,150,680,4.5,73.5,93,0.628,0.642,97.8
"Rafael Furcal",2012,121,531,4.4,51.9,86,0.667,0.654,102
"Marcus Giles",2003,145,635,4.4,109.3,139,0.62,0.592,104.7
"Marcus Giles",2004,102,434,4.3,63.8,116,0.586,0.627,93.5
"Marcus Giles",2005,152,654,4.3,95.2,119,0.618,0.616,100.3
"Marcus Giles",2006,141,626,4.4,72.9,91,0.62,0.638,97.1
"Marcus Giles",2007,116,476,4.1,38.2,72,0.694,0.671,103.4
"Wes Helms",2003,134,536,4,68.7,101,0.65,0.642,101.2
"Wes Helms",2006,140,278,2,49.9,146,0.682,0.685,99.5
"Wes Helms",2007,112,308,2.8,26.8,67,0.708,0.693,102.2
"Wes Helms",2008,132,278,2.1,24.1,69,0.692,0.714,96.9
"Wes Helms",2009,113,234,2.1,22.3,78,0.664,0.705,94.2
"Wes Helms",2010,127,287,2.3,25.4,73,0.703,0.708,99.3
"Andruw Jones",1997,143,467,3.3,54.5,96,0.701,0.672,104.3
"Andruw Jones",1998,159,631,4,86.9,113,0.659,0.634,104
"Andruw Jones",1999,162,679,4.2,98.8,112,0.634,0.618,102.5
"Andruw Jones",2000,161,729,4.5,125,127,0.578,0.581,99.5
"Andruw Jones",2001,161,693,4.3,85.6,97,0.662,0.635,104.3
"Andruw Jones",2002,154,659,4.3,105.5,130,0.625,0.604,103.5
"Andruw Jones",2003,156,659,4.2,99.3,118,0.626,0.614,102
"Andruw Jones",2004,154,646,4.2,90.2,112,0.613,0.625,98.1
"Andruw Jones",2005,160,672,4.2,108,134,0.627,0.605,103.7
"Andruw Jones",2006,156,669,4.3,105.9,124,0.648,0.604,107.2
"Andruw Jones",2007,154,659,4.3,71.8,86,0.64,0.649,98.7
"Andruw Jones",2010,107,328,3.1,48.3,121,0.705,0.659,107
"Chipper Jones",1995,140,602,4.3,85.5,112,0.645,0.622,103.8
"Chipper Jones",1996,157,693,4.4,126.9,144,0.585,0.576,101.5
"Chipper Jones",1997,157,679,4.3,101.6,122,0.628,0.611,102.8
"Chipper Jones",1998,160,707,4.4,133.4,151,0.606,0.569,106.4
"Chipper Jones",1999,157,701,4.5,148.4,165,0.554,0.547,101.3
"Chipper Jones",2000,156,686,4.4,126.8,141,0.57,0.576,99
"Chipper Jones",2001,159,677,4.3,134.2,161,0.597,0.569,105
"Chipper Jones",2002,158,662,4.2,118.4,153,0.597,0.59,101.2
"Chipper Jones",2003,153,656,4.3,111.2,137,0.632,0.595,106.1
"Chipper Jones",2004,137,567,4.1,82.4,116,0.625,0.625,100
"Chipper Jones",2005,109,432,4,80.9,153,0.606,0.61,99.3
"Chipper Jones",2006,110,477,4.3,95.1,155,0.58,0.59,98.3
"Chipper Jones",2007,134,600,4.5,122.5,163,0.528,0.567,93.1
"Chipper Jones",2008,128,534,4.2,110,174,0.552,0.582,94.8
"Chipper Jones",2009,143,596,4.2,78.8,116,0.635,0.633,100.3
"Chipper Jones",2011,126,512,4.1,67.4,120,0.628,0.638,98.4
"Chipper Jones",2012,112,448,4,65.5,127,0.594,0.633,93.9
"Ryan Langerhans",2005,128,373,2.9,46.8,104,0.687,0.676,101.7
"Ryan Langerhans",2006,131,369,2.8,39.9,87,0.682,0.687,99.2
"Ryan Langerhans",2007,125,244,2,14.9,52,0.707,0.723,97.8
"Javy Lopez",1996,138,526,3.8,66.9,102,0.691,0.649,106.5
"Javy Lopez",1997,123,464,3.8,71.4,128,0.65,0.633,102.6
"Javy Lopez",1998,133,534,4,82.2,123,0.622,0.624,99.7
"Javy Lopez",2000,133,525,3.9,72.5,104,0.661,0.637,103.7
"Javy Lopez",2001,125,482,3.9,56.5,93,0.648,0.654,99.1
"Javy Lopez",2002,109,385,3.5,32.3,72,0.683,0.679,100.6
"Javy Lopez",2003,129,495,3.8,106.2,170,0.603,0.591,102.1
"Javy Lopez",2004,150,638,4.3,101.1,127,0.593,0.607,97.7
"Javy Lopez",2005,103,423,4.1,53.5,105,0.632,0.643,98.4
"Gary Sheffield",1990,125,547,4.4,71.1,118,0.594,0.631,94.2
"Gary Sheffield",1992,146,618,4.2,115.1,172,0.578,0.587,98.5
"Gary Sheffield",1993,139,557,4,82.3,123,0.623,0.627,99.3
"Gary Sheffield",1996,161,677,4.2,150,185,0.547,0.549,99.5
"Gary Sheffield",1997,135,582,4.3,95.2,138,0.588,0.606,97.1
"Gary Sheffield",1998,130,549,4.2,99.3,154,0.603,0.598,100.9
"Gary Sheffield",1999,152,663,4.4,119.7,141,0.575,0.583,98.7
"Gary Sheffield",2000,141,612,4.3,136.1,173,0.55,0.555,99.1
"Gary Sheffield",2001,143,618,4.3,119.4,159,0.606,0.578,104.8
"Gary Sheffield",2002,135,579,4.3,103.3,144,0.568,0.595,95.5
"Gary Sheffield",2003,155,678,4.4,139.6,163,0.565,0.558,101.2
"Gary Sheffield",2004,154,684,4.4,119.4,141,0.596,0.584,102
"Gary Sheffield",2005,154,675,4.4,110.1,137,0.606,0.597,101.5
"Gary Sheffield",2007,133,593,4.5,91.5,123,0.636,0.608,104.7
"Gary Sheffield",2008,114,482,4.2,54.5,92,0.667,0.647,103
"Gary Sheffield",2009,100,312,3.1,44.5,122,0.662,0.66,100.3
"B.J. Surhoff",1987,111,445,4,57.3,103,0.632,0.643,98.3
"B.J. Surhoff",1988,138,541,3.9,38.5,68,0.694,0.686,101.2
"B.J. Surhoff",1989,125,477,3.8,40.1,74,0.656,0.676,97
"B.J. Surhoff",1990,135,530,3.9,55.2,98,0.644,0.662,97.3
"B.J. Surhoff",1991,142,553,3.9,54.9,91,0.673,0.666,101
"B.J. Surhoff",1992,137,543,4,43.5,77,0.662,0.678,97.7
"B.J. Surhoff",1993,148,599,4,62.8,87,0.675,0.659,102.4
"B.J. Surhoff",1995,115,462,4,73.4,122,0.616,0.624,98.7
"B.J. Surhoff",1996,143,590,4.1,84.7,108,0.636,0.626,101.6
"B.J. Surhoff",1997,146,595,4.1,73,104,0.653,0.643,101.5
"B.J. Surhoff",1998,160,634,4,78.9,102,0.638,0.645,98.9
"B.J. Surhoff",1999,161,727,4.5,106.7,114,0.607,0.605,100.3
"B.J. Surhoff",2000,147,587,4,76.2,101,0.66,0.64,103
"B.J. Surhoff",2001,139,531,3.8,57.3,86,0.663,0.662,100.1
"B.J. Surhoff",2004,100,378,3.8,50.1,108,0.627,0.647,96.9
"Chad Allen",1999,137,523,3.8,58.5,82,0.664,0.659,100.7
"Alex Arias",1999,118,390,3.3,49.2,96,0.635,0.663,95.7
"Tony Batista",1998,104,318,3.1,46.1,112,0.689,0.66,104.4
"Tony Batista",1999,141,573,4.1,80.9,107,0.649,0.63,103.1
"Tony Batista",2000,154,664,4.3,91,100,0.654,0.623,105
"Tony Batista",2001,151,622,4.1,64.3,82,0.669,0.658,101.7
"Tony Batista",2002,161,682,4.2,79.5,100,0.67,0.643,104.1
"Tony Batista",2003,162,675,4.2,56,71,0.695,0.675,102.9
"Tony Batista",2004,157,650,4.1,64.4,76,0.687,0.662,103.8
"Larry Bigbie",2004,139,531,3.8,67.4,102,0.65,0.649,100.2
"Mike Bordick",1992,152,572,3.8,65,113,0.635,0.66,96.2
"Mike Bordick",1993,159,633,4,58.5,84,0.658,0.672,98
"Mike Bordick",1994,114,440,3.9,41.1,76,0.695,0.667,104.1
"Mike Bordick",1995,125,478,3.8,46.3,81,0.66,0.668,98.8
"Mike Bordick",1996,154,587,3.8,49.6,65,0.679,0.682,99.6
"Mike Bordick",1997,151,560,3.7,37,58,0.67,0.697,96.1
"Mike Bordick",1998,148,533,3.6,60.2,96,0.644,0.665,96.8
"Mike Bordick",1999,156,708,4.5,79.8,91,0.631,0.638,99
"Mike Bordick",2000,155,644,4.2,83.8,101,0.629,0.634,99.2
"Mike Bordick",2002,117,413,3.5,38,80,0.658,0.676,97.3
